ID,Mother,Father
1,Ma,BT
2,Ma,BT
3,Ma,DN
4,Ma,DN
5,Se,VO
6,Se,VO
7,Se,DN
8,Cy,UNK
9,Cy,UNK
10,Cy,UNK
11,Na,BT
12,Na,BT
13,Na,VO
14,Na,VO
15,Ma,BT
16,Ma,BT
17,Ma,BT
18,Ma,VO
19,Se,BT
20,Se,PA
21,Se,PA
22,Ka,VO
23,Ka,VO
24,Ka,DN
25,Ka,DN
26,Ka,DN
27,Va,BT
28,Va,BT
29,Va,BT
30,Va,BT
31,Se,BT
32,Se,GE
33,Se,DN
34,Se,DN
