ID,Mother,Father
Fa,Fk,NB
Ok,Ot,NB
SE,Sl,NB
JI,Jk,NB
NI,Nv,NB
Kx,Ki,JD
Ha,Hs,NB
HO,Hd,SN
IA,Ic,ML
Mz,Mt,SM
Pk,Po,SM
So,Sk,SM
Ma,Mr,Gl
