Mother,Father
BAH,KS
CD,WL
CD,FD
DL,FE
DM,BE
FN,SL
FF,EV
FF,FR
FF,KS
FF,GB
FN,SL
FF,WL
FF,GB
FN,SL
GM,WL
GM,AL
GM,TB
GM,FR
GM,FR
ML,EV
JF,AL
MAK,GL
SA,FR
SW,FR
SR,WL
SW,WL
SA,AO
SA,BE
PI,GB
PI,FR
TTA,SL
TA,KS
PI,FR
YD,WL
TZ,KS
TZ,FR
