FatherId,MotherId,Children
32845,0,32801
32845,0,32874
32845,0,32978
32845,0,32569
32844,30327,
32843,31359,32640;32724;32915;32890;32936
32837,31362,32656;32799;32838;32610
32835,32568,32892;32649;32910;32805
32824,29992,32844;32827;32690;32559;33037
32824,30399,32826;32825;32916
32824,32050,32931;32829;32828;32579
32820,29217,32823
32820,32683,32638;32951;32917;32836;32822;32941;32821
32819,30627,32862;32670;32957
32815,30813,32966;33022;32818;32817;33002;33044
32815,31738,
32812,31738,32846;32814;32572;32813
32810,49437,
32805,29955,32896;32678;32630;32578
32804,0,206
32804,29961,
32804,29994,
32804,31296,32708;32599;32567
32801,32561,32987
32799,28035,32800
32797,30386,
32796,27932,
32795,31084,32713
32793,30392,33033;32824;32698;32734;33016;32624
32793,31007,32706;32880
32793,151,32893;32900;32687
32792,29195,
32792,30269,32622;32672;32911
32779,29660,32777;32783;32769;32789
32777,149,32781;32787
32776,150,32779
32769,27900,32778;32785;32768;32771;32773;32774
32769,149,32780;32767;32784;32786;32772;32788;32775
32555,28388,
32555,28418,
32555,28458,
32555,29918,
32555,33168,32609
32553,31296,
32490,30421,
32488,0,32419
32488,0,32424
32488,0,32434
32485,0,32423
32485,0,32446
32485,0,32453
32485,0,32528
32481,27915,32455;32482;32483;32442;32506
32481,144,32484;32487;32530
32480,0,32477
32480,0,32488
32479,32507,32433;32537
32478,138,32422;28155
32477,0,32427
32476,31361,
32476,32549,32491;32535
32475,31356,32469;32465;32448
32469,32044,
32469,32535,32471;32454;32470;32503;32508;32474
32469,143,32473;32472
32465,30798,32492
32465,142,32468;32467;32466
32464,27888,32481;32456;32518
32464,28687,32512;32504
32456,27923,32462;32460;32461;32458;32459;32550
32456,28069,32463
32456,28425,
32453,32045,32494;32443;32516
32450,27919,32432;32451;32498
32450,28040,32513
32449,27867,
32448,139,32426;32428
32447,0,32493
32446,0,32507
32446,0,32519
32443,31337,32538;32437;32464;32476
32441,28387,32449;32534
32440,41,28130;32480
32440,0,32420
32440,32538,
32439,0,32441
32439,0,32478
32439,0,32479
32439,0,32514
32437,28036,32546
32437,28433,32523;32450;32425;32529;32515
32437,31108,32452;32525
32435,30809,
32435,140,
32431,30797,32510
32430,135,32418
32429,32509,32502;32475;32549
32427,0,32499
32427,0,32545
32425,31383,32517;32548
32424,0,32444
32423,28686,32543;32440;32511;32495
32419,137,32486;32542;32445
32418,136,
32412,32411,
32305,30280,32366;32189;32256
32303,30264,32266;32271;32304;32292;32337
32300,29201,32208;32348;32325
32298,0,32214
32298,0,32284
32298,0,32358
32298,0,32399
32297,0,32252
32297,0,32287
32297,0,32298
32295,29922,
32295,32589,
32291,28428,32391;32206
32291,32166,32283
32287,0,32198
32287,0,32199
32287,0,32207
32287,0,32226
32287,0,32254
32287,0,32351
32287,0,32405
32284,29218,32364
32284,32102,32417;32332;32270;32324;32355
32283,28064,32285;32357
32280,31317,32249
32278,131,32279
32272,28419,32403;32274;32341;32293;32311
32272,130,32242;32330;32363;32273
32270,31303,
32269,31551,32282
32269,32097,
32267,31561,
32267,31736,32410;32221;32185
32264,29184,32289;32395
32264,30644,
32262,30931,32272
