ID,Father,Mother
cch131,B,C
cch331,B,C
cch3208,B,C
cch251,N,O
cch117,P,O
cch165,W,X
cch226,W,X
cch172,W,X
cch126,Y,Z
cch119,AA,Z
cch073,AD,AE
cch102,AD,AE
cch103,AD,AE
cch124,AI,AJ
cth842,AI,AJ
cth728,AI,AJ
cch153,AM,AL
cch254,AM,AN
cch531,AO,AP
cth747,AO,AP
